cow;test_date;numpar;calving_date;milk;fat;protein;RCS;ETS;lactose;urea;bhb;weight
586;16/09/2022;2;01/08/2022 0:00;39.32;3.34;3;106;8.49;4.73;121;0.05;571.07432
635;19/07/2022;1;NA;21.2;3.93;3.15;74;8.94;5.06;285;0.04;NA
635;16/09/2022;1;NA;21.6;3.92;3.32;40;9.07;5.03;129;NULL;NA
4109;19/07/2022;1;NA;26.8;3.96;3.26;18;8.88;4.95;329;0.04;NA
4109;16/09/2022;1;NA;26;3.57;3.53;15;9.24;4.84;149;0.05;NA
4110;19/07/2022;1;07/07/2022 0:00;23.23;3.26;3.12;51;8.56;4.61;200;0.07;598.41676
4110;16/09/2022;1;07/07/2022 0:00;25.74;5.06;3.37;19;9.04;4.99;155;NULL;598.41676
5422;16/09/2022;3;16/08/2022 0:00;43.31;3.66;2.83;14;8.47;4.89;108;0.1;580.8212
5423;16/09/2022;4;NA;30.4;4.67;3.18;11;9;5;130;0.05;NA
5424;16/09/2022;3;31/01/2022 0:00;28.43;3.84;3.29;173;8.79;4.63;155;0.07;514
5424;19/07/2022;3;31/01/2022 0:00;37.66;2.74;2.93;24;8.61;4.9;265;0.04;514
5425;16/09/2022;3;28/01/2022 0:00;35.77;4.28;3.91;340;9.81;5.02;167;NULL;598
5425;19/07/2022;3;28/01/2022 0:00;34.32;3.7;3.41;247;9.13;4.95;197;NULL;598
5426;16/09/2022;3;05/05/2022 0:00;36.34;3.26;2.69;60;8.33;4.9;168;NULL;557
5426;19/07/2022;3;05/05/2022 0:00;39.44;2.57;2.48;54;7.94;4.75;247;NULL;557
5427;19/07/2022;3;28/10/2021 0:00;25.65;3.91;3.49;77;8.77;4.45;220;0.04;607
5427;16/09/2022;3;28/10/2021 0:00;22.22;5.48;3.56;403;8.68;4.35;157;0.11;607
5546;16/09/2022;1;03/08/2022 0:00;17.91;2.74;3.11;78;8.92;4.99;100;0.04;590.56808
6228;16/09/2022;3;NA;33.82;3.67;3.23;10;8.97;4.95;221;0.04;NA
6231;19/07/2022;3;NA;26.39;5.54;3.71;102;8.9;4.46;251;0.09;NA
6232;19/07/2022;2;31/03/2022 0:00;23.08;4.24;3.59;198;9.32;5;262;0.04;NA
6232;16/09/2022;2;31/03/2022 0:00;24.36;4.52;3.53;25;9.32;5.03;249;0.04;NA
6234;16/09/2022;3;NA;20.8;5.07;4.03;461;9.63;4.7;191;0.04;NA
6234;19/07/2022;3;NA;22.4;4.61;3.92;1535;9.65;4.85;442;0.04;NA
6239;19/07/2022;3;11/05/2022 0:00;23.47;3.97;2.72;29;8.36;4.89;168;0.04;615
6243;16/09/2022;3;23/01/2022 0:00;31.52;3.57;3;32;8.51;4.72;181;0.04;589
6243;19/07/2022;3;23/01/2022 0:00;36.13;3.24;3.13;38;8.65;4.68;293;0.04;589
6490;16/09/2022;2;25/04/2022 0:00;39.87;3.26;3.08;66;8.84;5;159;NULL;590
6490;19/07/2022;2;25/04/2022 0:00;35.95;5.17;2.86;212;8.67;5.13;287;NULL;590
6491;19/07/2022;1;30/11/2021 0:00;31.12;3.32;3.16;34;9;5.14;275;0.04;589
6491;16/09/2022;1;30/11/2021 0:00;32.41;2.63;3.38;10;9.44;5.27;197;0.05;589
6492;19/07/2022;1;NA;18.8;4.48;3.64;43;9.36;4.91;209;0.06;NA
6493;19/07/2022;1;08/10/2021 0:00;22.98;4.87;3.44;342;9.03;4.8;207;0.04;600
6493;16/09/2022;1;08/10/2021 0:00;18.57;4.75;3.57;65;9.23;4.81;140;0.04;600
6498;19/07/2022;1;18/01/2022 0:00;25.88;4.06;3.33;12;9.07;4.98;267;0.04;NA
6498;16/09/2022;1;18/01/2022 0:00;21.54;4.57;3.47;21;9.32;4.98;230;0.04;NA
6499;19/07/2022;1;03/12/2021 0:00;31.07;3.48;3.43;20;9.29;5;233;NULL;589
6499;16/09/2022;1;03/12/2021 0:00;33.83;3.12;3.4;22;9.23;5.03;202;NULL;589
6500;19/07/2022;1;24/12/2021 0:00;28.81;3.7;3.02;27;8.65;4.96;280;0.04;NA
6500;16/09/2022;1;24/12/2021 0:00;27.46;3.6;3.31;110;8.93;4.77;187;0.07;NA
6502;19/07/2022;1;16/01/2022 0:00;30.44;3.79;3.44;10;9.08;4.88;315;0.04;NA
6502;16/09/2022;1;16/01/2022 0:00;26.82;3.76;3.3;10;9.01;4.91;187;0.11;NA
6503;16/09/2022;1;NA;30.4;4.21;3.51;36;9.37;5.01;166;0.08;NA
6503;19/07/2022;1;NA;29.2;4.1;3.33;123;9.02;4.93;354;0.04;NA
6718;19/07/2022;2;NA;40.75;3.59;2.75;30;8.44;5.05;197;NULL;NA
6718;16/09/2022;2;NA;40.71;4.99;3.16;15;8.96;5.07;216;NULL;NA
6719;19/07/2022;2;NA;18;4.29;3.03;3364;8.86;5.01;274;0.1;NA
6720;19/07/2022;1;30/01/2021 0:00;22.83;4.97;3.71;20;9.53;5;347;0.04;NA
6721;16/09/2022;2;NA;35.95;3.5;2.98;10;8.51;4.89;145;NULL;NA
6721;19/07/2022;2;NA;37.79;3.75;2.9;69;8.36;4.84;238;0.07;NA
6722;16/09/2022;2;NA;36.79;3.17;3.03;24;8.88;5.09;188;NULL;NA
6722;19/07/2022;2;NA;37.49;2.12;3.06;19;8.81;4.93;180;0.04;NA
6723;19/07/2022;2;NA;36.13;3.93;3.14;33;8.89;5.01;205;NULL;NA
