Numero de vaca;Address;Fecha/hora de visita;tiempo en cubiculo;Produccion de leche;tiempo;Descripcion;CIB;
59;101;18/02/2022 0:05:00;5:43;15.4;5:43;Correcto;59;
236;101;18/02/2022 0:11:00;5:57;13.0;5:57;Correcto;236;
31;101;18/02/2022 0:16:00;5:18;15.1;5:18;Correcto;31;
231;101;18/02/2022 0:26:00;9:21;18.7;9:21;Correcto;231;
532;101;18/02/2022 0:37:00;10:44;14.8;10:44;Correcto;532;
240;101;18/02/2022 0:43:00;5:31;17.8;5:31;Correcto;240;
259;101;18/02/2022 0:52:00;8:42;11.8;8:42;Correcto;259;
208;101;18/02/2022 0:58:00;6:09;0.7;6:09;Tiempo de conexi�n;208;
13;101;18/02/2022 1:04:00;6:06;7.1;6:06;Correcto;13;
197;101;18/02/2022 1:12:00;7:40;15.7;7:40;Correcto;197;
138;101;18/02/2022 1:17:00;4:53;18.2;4:53;Correcto;138;
47;101;18/02/2022 1:23:00;5:38;16.7;5:38;Correcto;47;
132;101;18/02/2022 1:31:00;7:12;16.7;7:12;Correcto;132;
141;101;18/02/2022 1:38:00;6:44;12.9;6:44;Correcto;141;
90;101;18/02/2022 1:47:00;8:34;24.8;8:34;Correcto;90;
228;101;18/02/2022 1:54:00;6:45;8.9;6:45;Correcto;228;
245;101;18/02/2022 2:00:00;6:30;11.1;6:30;Correcto;245;
134;101;18/02/2022 2:04:00;3:42;10;3:42;Correcto;134;
473;101;18/02/2022 2:12:00;7:05;15.8;7:05;Correcto;473;
185;101;18/02/2022 2:17:00;4:59;11.3;4:59;Correcto;185;
150;101;18/02/2022 2:23:00;6:38;11.3;6:38;Correcto;150;
146;101;18/02/2022 2:31:00;7:24;16.9;7:24;Correcto;146;
212;101;18/02/2022 2:37:00;6:25;12.2;6:25;Correcto;212;
233;101;18/02/2022 2:44:00;5:29;11.6;5:29;Correcto;233;
226;101;18/02/2022 2:49:00;4:47;10.1;4:47;Correcto;226;
227;101;18/02/2022 2:54:00;5:06;18.8;5:06;Correcto;227;
246;101;18/02/2022 3:00:00;6:21;13;6:21;Correcto;246;
195;101;18/02/2022 3:09:00;8:44;16.1;8:44;Correcto;195;
412;101;18/02/2022 3:17:00;7:17;14.6;7:17;Correcto;412;
117;101;18/02/2022 3:25:00;8:08;16.5;8:08;Correcto;117;
84;101;18/02/2022 3:33:00;7:31;13.2;7:31;Correcto;84;
81;101;18/02/2022 3:41:00;7:42;11.6;7:42;Correcto;81;
220;101;18/02/2022 3:46:00;5:13;10.5;5:13;Correcto;220;
224;101;18/02/2022 3:52:00;5:36;9.2;5:36;Correcto;224;
160;101;18/02/2022 3:57:00;4:52;8.8;4:52;Correcto;160;
21;101;18/02/2022 4:02:00;5:36;10.8;5:36;Correcto;21;
175;101;18/02/2022 4:10:00;7:27;16.5;7:27;Correcto;175;
153;101;18/02/2022 4:17:00;7:02;18;7:02;Correcto;153;
130;101;18/02/2022 4:24:00;6:18;10.8;6:18;Correcto;130;
168;101;18/02/2022 4:30:00;6:13;15.8;6:13;Correcto;168;
170;101;18/02/2022 4:38:00;7:26;11.6;7:26;Correcto;170;
77;101;18/02/2022 4:49:00;11:15;17.7;11:15;Correcto;77;
72;101;18/02/2022 4:54:00;5:17;11.8;5:17;Correcto;72;
291;101;18/02/2022 5:00:00;5:25;11.1;5:25;Correcto;291;
221;101;18/02/2022 5:06:00;5:44;11.9;5:44;Correcto;221;
53;101;18/02/2022 5:11:00;4:40;12.3;4:40;Correcto;53;
236;101;18/02/2022 5:16:00;4:54;10.4;4:54;Correcto;236;
13;101;18/02/2022 5:22:00;5:58;7;5:58;Correcto;13;
163;101;18/02/2022 5:32:00;9:40;16.3;9:40;Correcto;163;
259;101;18/02/2022 5:41:00;8:32;9.6;8:32;Correcto;259;
