cow,date,kgm,time,meanCH4,meanCO2,meanRatioCH4_CO2,AUC_CH4,AUC_Ratio,peaks,peaks_per_minute,Sum_of_PeaksCH4,Sum_of_PeaksCO2,Sum_of_PeaksRatio,Mean_of_PeaksCH4,Mean_of_PeaksRatio,Sum_MaxPeak,meanCH4_5s,Sum_of_PeaksCH4_5s,validity
5425,Tue Aug 09 17:31:52 CEST 2022,15.84,327,146.47,2313.8,0.09,14653.21,8.39,5,0.92,7390.83,104858.72,4.3,28.72,0.02,223.85,145.9,1464.22,1
6502,Tue Aug 09 17:37:21 CEST 2022,14.39,358,395.57,4347.48,0.09,30028.49,5.72,3,0.5,15105.59,104978.21,2.89,84.96,0.02,775.14,418.33,2793.85,1
6734,Tue Aug 09 17:43:21 CEST 2022,13.85,418,145.07,2814.31,0.05,5263.64,1.67,3,0.43,2674.16,52987.75,0.86,23.06,0.01,89.71,144.83,544.02,1
6493,Tue Aug 09 17:50:21 CEST 2022,13.72,418,235.07,2594.37,0.09,14608.71,4.72,3,0.43,7337.8,64927.75,2.37,42.07,0.01,380.81,242.57,1417.89,1
7431,Tue Aug 09 17:59:40 CEST 2022,15.86,459,426.97,4366.5,0.08,27266.67,5.05,5,0.65,13754.25,127803.92,2.55,61.29,0.01,579.08,415.17,2786.14,1
9765,Tue Aug 09 18:09:57 CEST 2022,10.55,322,194.63,2952.69,0.04,19926.71,4.04,4,0.75,10021.12,142991.55,2.03,41.11,0.01,256.21,196.5,2001.24,11
2504,Tue Aug 09 18:15:26 CEST 2022,14.31,353,245.03,6197.7,0.05,19440,3.07,4,0.68,9906.29,229835.35,1.59,60.12,0.01,337.05,245.83,1993.43,1
2514,Tue Aug 09 18:21:21 CEST 2022,18.76,418,621.93,6548.15,0.11,47065.55,8.07,4,0.57,23648.33,206844.98,4.05,112.55,0.02,1062.2,639.17,4761.24,1
7436,Tue Aug 09 18:34:53 CEST 2022,8.34,266,493.27,6448.67,0.09,48298.65,7.55,4,0.9,24359.55,297304.06,3.82,138.59,0.02,1139.55,510.49,4979.55,1
9750,Tue Aug 09 18:39:21 CEST 2022,18.33,418,375.19,4027.56,0.1,21424.02,6.02,3,0.43,10799.43,82897.03,3.04,64.91,0.02,557.8,383.67,1983.44,1
7441,Tue Aug 09 18:48:03 CEST 2022,9.56,496,261.73,4234.37,0.04,17648.95,2.51,5,0.6,8900.08,141728.23,1.27,32.34,0,247.98,262.33,1781.37,0
3153,Tue Aug 09 18:56:21 CEST 2022,13.08,538,174.73,3742.97,0.06,7257.99,2.93,4,0.45,3671.38,62648.25,1.49,17.19,0.01,114.87,171.83,711.52,1
6499,Tue Aug 09 19:07:32 CEST 2022,9.49,467,870.27,8520.13,0.09,41896.7,4.32,4,0.51,21433.23,214264.75,2.21,150.82,0.01,1045.7,862.67,4181.24,1
9779,Tue Aug 09 19:18:07 CEST 2022,15.98,372,814.37,7590.95,0.13,73120.97,7.65,4,0.65,36858.71,345245.48,3.85,147.97,0.02,1528.87,823,7439.35,1
6490,Tue Aug 09 19:24:21 CEST 2022,26.82,358,940.3,9991.8,0.08,63098.88,4.87,3,0.5,31942.46,226791.62,2.47,261.97,0.02,1324.02,927.67,6227.93,11
9758,Tue Aug 09 19:30:21 CEST 2022,19.72,538,806.23,6287.61,0.1,11385.5,2.4,2,0.22,5731.45,94208.48,1.21,35.79,0.01,140.97,795.5,1129.07,1
6239,Tue Aug 09 19:42:23 CEST 2022,9.2,416,154.61,3945.39,0.04,10691.25,2.75,9,1.3,5499.81,130194.81,1.44,25.24,0.01,287.6,155.73,1091.25,1
9785,Tue Aug 09 19:49:34 CEST 2022,18.98,465,239.8,3988.36,0.06,8825.81,1.67,1,0.13,4419.35,71924.39,0.84,42.09,0.01,76.13,233.67,882.58,0
2517,Tue Aug 09 19:58:19 CEST 2022,25.4,480,205.16,4302.79,0.04,11952.25,2.27,4,0.5,6059.75,97877.75,1.16,34.87,0.01,184,206.17,1220,0
6244,Tue Aug 09 20:06:26 CEST 2022,24.02,473,526.57,4751.14,0.09,30995.77,4.42,3,0.38,15587.32,104084.4,2.23,87.07,0.01,553.07,536.33,3057.08,1
3132,Tue Aug 09 20:14:21 CEST 2022,19.93,538,318.53,6752.37,0.06,13717.25,2.54,4,0.45,6958.88,121216.73,1.32,40.81,0.01,217.92,320,1382.01,11
3131,Tue Aug 09 20:23:21 CEST 2022,21.19,598,426.3,5213.07,0.08,23709.03,4.6,3,0.3,11899.67,106316.39,2.31,59.46,0.01,586.96,425.83,2518.39,1
1117,Tue Aug 09 20:34:22 CEST 2022,25.33,717,1307.87,11285.77,0.1,59360.67,4.29,4,0.33,29902.09,224657.91,2.16,148.01,0.01,1242.68,1338.83,6006.69,11
7435,Tue Aug 09 20:50:28 CEST 2022,19.69,531,321.2,6889.1,0.04,12565.2,1.69,5,0.56,6425.54,134195.48,0.87,39.24,0.01,242.37,319.17,1301.69,10
7437,Tue Aug 09 21:00:36 CEST 2022,10.88,463,800.8,7457.22,0.11,49146.87,6.96,5,0.65,24791.79,249419.61,3.5,101.08,0.01,949.89,793.33,4823.33,1
7434,Tue Aug 09 21:08:21 CEST 2022,19.77,538,314.01,8223.93,0.04,19623.79,2.64,4,0.45,9896.21,217505.58,1.34,43.27,0.01,245.46,315.17,1965.06,1
5430,Tue Aug 09 21:18:25 CEST 2022,20.21,534,532.5,5761.7,0.08,33695.51,4.91,5,0.56,16922.47,164784.27,2.47,65.44,0.01,1058.99,555,3546.52,0
2516,Tue Aug 09 21:28:24 CEST 2022,24.14,475,521.2,3296.13,0.07,34489.26,4.45,3,0.38,17322.95,89613.22,2.24,83.25,0.01,659.37,541.17,3385.26,1
3134,Tue Aug 09 21:36:21 CEST 2022,24.77,598,508.3,6732.07,0.06,26837.46,2.99,4,0.4,13480.94,171566.29,1.5,51.5,0.01,441.97,508.17,2606.69,1
5132,Tue Aug 09 21:50:02 CEST 2022,22.58,557,72.03,2142.9,0.04,4260.32,2.02,5,0.54,2144.7,52064.27,1.02,9.84,0,80.25,71.83,429.8,0
5426,Tue Aug 09 22:06:21 CEST 2022,15.17,418,952.8,8140.33,0.11,77652.63,8.88,5,0.72,39261.24,327054.83,4.48,157.99,0.02,1439,944.33,7686.6,10
233,Tue Aug 09 22:13:21 CEST 2022,8.32,418,218.93,6103.9,0.03,16576.08,2.33,4,0.57,8369.86,226198.56,1.18,38.29,0.01,200.96,220.67,1666.51,1
7442,Tue Aug 09 22:30:47 CEST 2022,7.56,332,149.37,1787.43,0.05,9088.55,3.83,3,0.54,4763.86,53954.82,1.95,81.2,0.02,281.93,145.83,934.34,0
6232,Tue Aug 09 22:36:21 CEST 2022,15.44,418,719.5,6278.21,0.09,39410.53,4.56,2,0.29,19827.27,142930.33,2.29,178.85,0.02,730.62,725.17,3762.2,1
9752,Tue Aug 09 22:48:06 CEST 2022,14.32,433,558.8,8310.47,0.07,38693.76,2.62,5,0.69,19680.83,309619.4,1.33,88.96,0.01,548.04,554.33,3917.32,1
5427,Tue Aug 09 22:55:21 CEST 2022,17.07,418,401.7,4811.9,0.07,28725.36,5,4,0.57,14489,132186.6,2.53,78.92,0.01,587.08,396.67,2786.12,1
2505,Tue Aug 09 23:05:29 CEST 2022,16.27,410,308.47,4883.27,0.06,21839.12,3.87,5,0.73,11044.68,152408.78,1.96,56,0.01,572.2,319.5,2296.1,1
5424,Tue Aug 09 23:13:24 CEST 2022,19.4,415,473.67,4051.93,0.07,32744.1,5.04,6,0.87,16879.52,122836.92,2.6,95.51,0.01,913.01,475.83,3294.94,1
